date,symbol,marketcapname,sector
19-09-2024 2:09 pm,CIPLA,Largecap,Pharmaceuticals
19-09-2024 2:09 pm,SBIN,Largecap,Bank
19-09-2024 2:09 pm,HEROMOTOCO,Largecap,Auto
19-09-2024 2:09 pm,INFY,Largecap,I.T
19-09-2024 2:09 pm,JSWSTEEL,Largecap,Metals
19-09-2024 2:09 pm,KOTAKBANK,Largecap,Bank
19-09-2024 2:09 pm,GRASIM,Largecap,Textiles
19-09-2024 2:09 pm,HINDALCO,Largecap,Metals
19-09-2024 2:09 pm,HINDUNILVR,Largecap,FMCG
19-09-2024 2:09 pm,NESTLEIND,Largecap,FMCG
19-09-2024 2:09 pm,ASIANPAINT,Largecap,Industrials
19-09-2024 2:09 pm,BRITANNIA,Largecap,FMCG
19-09-2024 2:09 pm,ITC,Largecap,FMCG
19-09-2024 2:09 pm,WIPRO,Largecap,I.T
19-09-2024 2:09 pm,NIFTY,Smallcap,Indices
19-09-2024 2:09 pm,SUNPHARMA,Largecap,Pharmaceuticals
19-09-2024 2:09 pm,SBILIFE,Largecap,Services
19-09-2024 2:09 pm,HDFCLIFE,Largecap,Services
19-09-2024 2:09 pm,HCLTECH,Largecap,I.T
19-09-2024 2:09 pm,MARUTI,Largecap,Auto
19-09-2024 2:09 pm,TCS,Largecap,I.T
19-09-2024 2:09 pm,NTPC,Largecap,Miscellaneous
19-09-2024 2:09 pm,TECHM,Largecap,I.T
19-09-2024 2:09 pm,LTIM,Largecap,I.T
19-09-2024 2:10 pm,CIPLA,Largecap,Pharmaceuticals
19-09-2024 2:10 pm,SBIN,Largecap,Bank
19-09-2024 2:10 pm,HDFCBANK,Largecap,Bank
19-09-2024 2:10 pm,JSWSTEEL,Largecap,Metals
19-09-2024 2:10 pm,KOTAKBANK,Largecap,Bank
19-09-2024 2:10 pm,HINDALCO,Largecap,Metals
19-09-2024 2:10 pm,WIPRO,Largecap,I.T
19-09-2024 2:10 pm,NIFTY,Smallcap,Indices
19-09-2024 2:10 pm,SUNPHARMA,Largecap,Pharmaceuticals
19-09-2024 2:10 pm,SBILIFE,Largecap,Services
19-09-2024 2:10 pm,INDUSINDBK,Largecap,Bank
19-09-2024 2:10 pm,HCLTECH,Largecap,I.T
19-09-2024 2:10 pm,TCS,Largecap,I.T
19-09-2024 2:10 pm,NTPC,Largecap,Miscellaneous
19-09-2024 2:10 pm,POWERGRID,Largecap,Miscellaneous
19-09-2024 2:10 pm,ADANIPORTS,Largecap,Industrials
19-09-2024 2:10 pm,COALINDIA,Largecap,Industrials
19-09-2024 2:10 pm,LTIM,Largecap,I.T
19-09-2024 2:11 pm,CIPLA,Largecap,Pharmaceuticals
19-09-2024 2:11 pm,SBIN,Largecap,Bank
19-09-2024 2:11 pm,DRREDDY,Largecap,Pharmaceuticals
19-09-2024 2:11 pm,HDFCBANK,Largecap,Bank
19-09-2024 2:11 pm,HEROMOTOCO,Largecap,Auto
19-09-2024 2:11 pm,INFY,Largecap,I.T
19-09-2024 2:11 pm,JSWSTEEL,Largecap,Metals
19-09-2024 2:11 pm,KOTAKBANK,Largecap,Bank
19-09-2024 2:11 pm,GRASIM,Largecap,Textiles
19-09-2024 2:11 pm,HINDALCO,Largecap,Metals
19-09-2024 2:11 pm,TATASTEEL,Largecap,Metals
19-09-2024 2:11 pm,LT,Largecap,Realty
19-09-2024 2:11 pm,M&M,Largecap,Auto
19-09-2024 2:11 pm,BRITANNIA,Largecap,FMCG
19-09-2024 2:11 pm,ITC,Largecap,FMCG
19-09-2024 2:11 pm,WIPRO,Largecap,I.T
19-09-2024 2:11 pm,SHRIRAMFIN,Largecap,Finance
19-09-2024 2:11 pm,ADANIENT,Largecap,Services
19-09-2024 2:11 pm,NIFTY,Smallcap,Indices
19-09-2024 2:11 pm,SUNPHARMA,Largecap,Pharmaceuticals
19-09-2024 2:11 pm,SBILIFE,Largecap,Services
19-09-2024 2:11 pm,HDFCLIFE,Largecap,Services
19-09-2024 2:11 pm,INDUSINDBK,Largecap,Bank
19-09-2024 2:11 pm,AXISBANK,Largecap,Bank
19-09-2024 2:11 pm,DIVISLAB,Largecap,Pharmaceuticals
19-09-2024 2:11 pm,ULTRACEMCO,Largecap,Industrials
19-09-2024 2:11 pm,NTPC,Largecap,Miscellaneous
19-09-2024 2:11 pm,TECHM,Largecap,I.T
19-09-2024 2:11 pm,POWERGRID,Largecap,Miscellaneous
19-09-2024 2:11 pm,ADANIPORTS,Largecap,Industrials
19-09-2024 2:11 pm,COALINDIA,Largecap,Industrials
19-09-2024 2:11 pm,LTIM,Largecap,I.T
19-09-2024 2:12 pm,CIPLA,Largecap,Pharmaceuticals
19-09-2024 2:12 pm,SBIN,Largecap,Bank
19-09-2024 2:12 pm,DRREDDY,Largecap,Pharmaceuticals
19-09-2024 2:12 pm,HDFCBANK,Largecap,Bank
19-09-2024 2:12 pm,JSWSTEEL,Largecap,Metals
19-09-2024 2:12 pm,KOTAKBANK,Largecap,Bank
19-09-2024 2:12 pm,GRASIM,Largecap,Textiles
19-09-2024 2:12 pm,ONGC,Largecap,Oils
19-09-2024 2:12 pm,TATASTEEL,Largecap,Metals
19-09-2024 2:12 pm,LT,Largecap,Realty
19-09-2024 2:12 pm,M&M,Largecap,Auto
19-09-2024 2:12 pm,BPCL,Largecap,Industrials
19-09-2024 2:12 pm,HINDUNILVR,Largecap,FMCG
19-09-2024 2:12 pm,EICHERMOT,Largecap,Auto
19-09-2024 2:12 pm,WIPRO,Largecap,I.T
19-09-2024 2:12 pm,SHRIRAMFIN,Largecap,Finance
19-09-2024 2:12 pm,NIFTY,Smallcap,Indices
19-09-2024 2:12 pm,SUNPHARMA,Largecap,Pharmaceuticals
19-09-2024 2:12 pm,SBILIFE,Largecap,Services
19-09-2024 2:12 pm,INDUSINDBK,Largecap,Bank
19-09-2024 2:12 pm,AXISBANK,Largecap,Bank
19-09-2024 2:12 pm,DIVISLAB,Largecap,Pharmaceuticals
19-09-2024 2:12 pm,MARUTI,Largecap,Auto
19-09-2024 2:12 pm,NTPC,Largecap,Miscellaneous
19-09-2024 2:12 pm,POWERGRID,Largecap,Miscellaneous
19-09-2024 2:12 pm,ADANIPORTS,Largecap,Industrials
19-09-2024 2:12 pm,BAJAJ-AUTO,Largecap,Auto
19-09-2024 2:12 pm,COALINDIA,Largecap,Industrials
19-09-2024 2:13 pm,DRREDDY,Largecap,Pharmaceuticals
19-09-2024 2:13 pm,ONGC,Largecap,Oils
19-09-2024 2:13 pm,HINDUNILVR,Largecap,FMCG
19-09-2024 2:13 pm,ICICIBANK,Largecap,Bank
19-09-2024 2:13 pm,AXISBANK,Largecap,Bank
